 TEAM_NAME, W_PCT, FGM, FGA, OREB, DREB, TOV, FG3M, FT_PCT,Eff FG
 Atlanta Hawks,0.4,36.6,84.8,8.9,35.4,14.4,10.6,0.795,0.494103774
 Boston Celtics,0.333,34.3,89.5,10.7,35.3,14.7,8.7,0.786,0.431843575
 Charlotte Hornets,0.429,31.9,80.4,7.1,29.7,9.4,5.7,0.839,0.43221393
 Cleveland Cavaliers,0.762,38.3,81.8,10.7,32.6,12.5,12.3,0.725,0.543398533
 Dallas Mavericks,0.2,35.4,81.2,9.2,25.8,11.8,6.2,0.694,0.474137931
 Detroit Pistons,0,36,75.3,7,30.8,10.5,8.8,0.648,0.536520584
 Golden State Warriors,0.625,38.9,85.6,10.5,32.7,14,12.8,0.735,0.529205607
 Houston Rockets,0.2,33,85.6,14.4,33,19,7.6,0.642,0.429906542
 Indiana Pacers,0.429,33,74.9,9.1,30.1,14.4,8.1,0.82,0.494659546
 LA Clippers,0.333,37.2,85,11.3,34.8,9.7,5.7,0.625,0.471176471
 Memphis Grizzlies,0,32,81.3,13.8,27.3,15.5,4.8,0.7,0.423124231
 Miami Heat,0.5,36.9,80.5,9.1,35.1,13.1,6.9,0.765,0.501242236
 Oklahoma City Thunder,0.611,38.2,84.5,12.5,34.4,13.9,8.3,0.786,0.501183432
 Portland Trail Blazers,0.455,37.1,89.1,12.9,34.7,13.1,11.9,0.74,0.483164983
 San Antonio Spurs,0.6,38.7,82.5,7.9,31.6,11.6,8.2,0.8,0.518787879
 Toronto Raptors,0.5,34.3,81.4,10.8,29.6,13,6.9,0.737,0.463759214
