 TEAM_NAME,Eff FG, OREB, TOV, FGM, FGA, FG3M, FT_PCT, DREB, W_PCT
 Atlanta Hawks,0.504146919,10.3,15.8,38.1,84.4,8.9,0.728,34.1,0.524
 Boston Celtics,0.524089307,9.1,13.3,38.6,85.1,12,0.807,32.9,0.646
 Brooklyn Nets,0.506455399,8.8,16.5,37.8,85.2,10.7,0.788,35.1,0.244
 Charlotte Hornets,0.5,8.8,11.5,37.7,85.4,10,0.815,34.8,0.439
 Chicago Bulls,0.486796785,12.2,13.6,38.6,87.1,7.6,0.798,34.1,0.5
 Cleveland Cavaliers,0.546525324,9.3,13.7,39.9,84.9,13,0.748,34.4,0.622
 Dallas Mavericks,0.504860267,7.9,11.9,36.2,82.3,10.7,0.801,30.7,0.402
 Denver Nuggets,0.530216648,11.8,15,41.2,87.7,10.6,0.774,34.6,0.488
 Detroit Pistons,0.49268018,11.1,11.9,39.9,88.8,7.7,0.719,34.6,0.451
 Golden State Warriors,0.563719862,9.4,14.8,43.1,87.1,12,0.788,35,0.817
 Houston Rockets,0.544724771,10.9,15.1,40.3,87.2,14.4,0.766,33.5,0.671
 Indiana Pacers,0.515976331,9,13.8,39.3,84.5,8.6,0.81,33,0.512
 LA Clippers,0.536658654,9,13,39.5,83.2,10.3,0.745,34,0.622
 Los Angeles Lakers,0.500572082,11.4,15.2,39.3,87.4,8.9,0.754,32.1,0.317
 Memphis Grizzlies,0.491626794,10.8,12.9,36.4,83.6,9.4,0.784,32,0.524
 Miami Heat,0.512237762,10.6,13.4,39,85.8,9.9,0.706,33,0.5
 Milwaukee Bucks,0.527472527,8.8,14,38.8,81.9,8.8,0.768,31.6,0.512
 Minnesota Timberwolves,0.511255924,11.4,14,39.5,84.4,7.3,0.799,31,0.378
 New Orleans Pelicans,0.503448276,8.6,12.9,39.1,87,9.4,0.75,35.1,0.415
 New York Knicks,0.496045198,12,13.9,39.6,88.5,8.6,0.788,33.2,0.378
 Oklahoma City Thunder,0.5,12.2,15,39.5,87.4,8.4,0.745,34.4,0.573
 Orlando Magic,0.48908046,9.8,13.3,38.3,87,8.5,0.747,33.3,0.354
 Philadelphia 76ers,0.501172333,9.8,16.7,37.7,85.3,10.1,0.771,33,0.341
 Phoenix Suns,0.493220339,11.9,15.4,39.9,88.5,7.5,0.776,33.1,0.293
 Portland Trail Blazers,0.519163763,10.1,13.7,39.5,86.1,10.4,0.78,33.5,0.5
 Sacramento Kings,0.516443362,8.7,14.6,37.9,82.1,9,0.775,32.3,0.39
 San Antonio Spurs,0.524492234,10,13.4,39.3,83.7,9.2,0.797,33.9,0.744
 Toronto Raptors,0.516587678,10.6,12.7,39.2,84.4,8.8,0.796,32.6,0.622
 Utah Jazz,0.525786164,9.4,13.6,37,79.5,9.6,0.747,33.8,0.622
 Washington Wizards,0.527586207,10.3,14.2,41.3,87,9.2,0.784,32.6,0.598
