 TEAM_NAME, W_PCT, FGM, FGA, FG_PCT, FG3M, FT_PCT, DREB, TOV,Eff FG, OREB
 Atlanta Hawks,0.293,38.2,85.5,0.446,11.2,0.785,32.8,15.6,0.512280702,9.1
 Boston Celtics,0.671,38.3,85.1,0.45,11.5,0.771,35.1,14,0.517626322,9.4
 Brooklyn Nets,0.341,38.2,86.8,0.441,12.7,0.772,34.8,15.2,0.513248848,9.7
 Charlotte Hornets,0.439,39,86.7,0.45,10,0.747,35.4,12.7,0.507497116,10.1
 Chicago Bulls,0.329,38.7,88.8,0.435,11,0.758,35,14,0.497747748,9.6
 Cleveland Cavaliers,0.61,40.4,84.8,0.476,12,0.779,33.7,13.7,0.547169811,8.5
 Dallas Mavericks,0.293,38.1,85.9,0.444,11.8,0.763,33.1,12.3,0.512223516,8.1
 Denver Nuggets,0.561,40.7,86.6,0.47,11.5,0.767,33.5,15,0.536374134,11
 Detroit Pistons,0.476,39.1,86.9,0.45,10.8,0.745,33.6,13.5,0.512082854,10.1
 Golden State Warriors,0.707,42.8,85.1,0.503,11.3,0.815,35.1,15.4,0.5693302,8.4
 Houston Rockets,0.793,38.7,84.2,0.46,15.3,0.781,34.5,13.8,0.550475059,9
 Indiana Pacers,0.585,40.8,86.4,0.472,9,0.779,32.7,13.3,0.524305556,9.6
 LA Clippers,0.512,40.3,85.4,0.471,9.5,0.743,33.7,14.7,0.527517564,10.1
 Los Angeles Lakers,0.427,40.7,88.4,0.461,10,0.714,35.7,15.8,0.516968326,10.7
 Memphis Grizzlies,0.268,36.7,82.8,0.444,9.2,0.786,31,15,0.498792271,9.5
 Miami Heat,0.537,38.8,85.3,0.455,11,0.755,34.2,14.4,0.519343494,9.3
 Milwaukee Bucks,0.537,39.7,83,0.478,8.8,0.782,31.5,13.8,0.531325301,8.4
 Minnesota Timberwolves,0.573,41,86.1,0.476,8,0.804,31.6,12.5,0.522648084,10.3
 New Orleans Pelicans,0.585,42.7,88.3,0.483,10.2,0.772,35.7,14.9,0.541336353,8.7
 New York Knicks,0.354,40.7,87.7,0.464,8.2,0.787,33.6,14.7,0.510832383,10.5
 Oklahoma City Thunder,0.585,39.9,88.1,0.453,10.7,0.716,32.6,14,0.513620885,12.5
 Orlando Magic,0.305,38.8,85.9,0.452,10.3,0.757,32.8,14.5,0.511641444,8.8
 Philadelphia 76ers,0.634,40.8,86.6,0.472,11,0.752,36.5,16.5,0.534642032,10.9
 Phoenix Suns,0.256,38.5,87.1,0.442,9.3,0.741,33.9,15.7,0.495407577,10.3
 Portland Trail Blazers,0.598,39.3,87,0.452,10.3,0.8,35.3,13.5,0.51091954,10.2
 Sacramento Kings,0.329,38.8,86.1,0.45,9,0.735,31.4,13.7,0.5029036,9.5
 San Antonio Spurs,0.573,39,85.4,0.457,8.5,0.772,33.9,13.1,0.506440281,10.4
 Toronto Raptors,0.72,41.3,87.4,0.472,11.8,0.794,34.2,13.4,0.540045767,9.8
 Utah Jazz,0.585,38.3,82.9,0.462,10.8,0.779,34.2,14.7,0.527141134,9
 Washington Wizards,0.524,39.9,85.6,0.467,9.9,0.772,33.1,14.6,0.523948598,10
